year,moranI,E_I,sd_I,z_I,p_I
2009,0.5117708470516521,-0.003533569,0.038698953,13.31572,0.0
2010,0.4861133135487206,-0.003533569,0.03851309,12.7137785,0.0
2011,0.463229281367167,-0.003533569,0.037742376,12.367077,0.0
2012,0.4647426483363114,-0.003533569,0.038089547,12.294087,0.0
2013,0.3669295641885219,-0.003533569,0.037888188,9.7778,0.0
2014,0.4313899162342683,-0.003533569,0.03862231,11.26094,0.0
2015,0.4472538707670978,-0.003533569,0.039141186,11.516959,0.0
2016,0.4360453296717719,-0.003533569,0.039313734,11.181307,0.0
2017,0.4443318655364658,-0.003533569,0.03975164,11.26659,0.0
2018,0.4252378495931638,-0.003533569,0.03999692,10.720112,0.0
2019,0.3738194151229229,-0.003533569,0.040091205,9.412363,0.0
2020,0.5123867604591785,-0.003533569,0.04025848,12.815197,0.0
2021,0.3596133905324856,-0.003533569,0.040251315,9.02199,0.0
2022,0.4143784880550905,-0.003533569,0.040141027,10.411096,0.0
2023,0.3609139277724731,-0.003533569,0.040253382,9.053835,0.0
2024,0.353838540878461,-0.003533569,0.040098406,8.912377,0.0
