year,moranI,E_I,sd_I,z_I,p_I
2009,0.1003892750394156,-0.003533569,0.0060069123,17.300543,0.0
2010,0.0970116716021832,-0.003533569,0.005978355,16.81821,0.0
2011,0.0835951951371136,-0.003533569,0.0058599543,14.8685055,0.0
2012,0.0825145546551985,-0.003533569,0.0059132855,14.551661,0.0
2013,0.0581886742827829,-0.003533569,0.005882353,10.492781,0.0
2014,0.0785580671630703,-0.003533569,0.0059951358,13.69304,0.0
2015,0.0707065402275731,-0.003533569,0.0060748644,12.220866,0.0
2016,0.0727765111402073,-0.003533569,0.0061013796,12.507021,0.0
2017,0.0765786891889858,-0.003533569,0.006168678,12.986941,0.0
2018,0.0894879756035737,-0.003533569,0.006206375,14.988064,0.0
2019,0.0633229405993289,-0.003533569,0.0062208674,10.747136,0.0
2020,0.1095731752925449,-0.003533569,0.0062465775,18.106995,0.0
2021,0.0794657086273865,-0.003533569,0.0062454767,13.289503,0.0
2022,0.072549655611903,-0.003533569,0.0062285247,12.215288,0.0
2023,0.0571632661755556,-0.003533569,0.0062457947,9.718033,0.0
2024,0.0549990157181932,-0.003533569,0.006221974,9.407398,0.0
