year,moranI,E_I,sd_I,z_I,p_I
2009,0.4333138994697178,-0.003533569,0.029408053,14.854689,0.0
2010,0.4298991600192376,-0.003533569,0.029266955,14.809628,0.0
2011,0.3686305739373907,-0.003533569,0.028681882,12.975583,0.0
2012,0.402072554809053,-0.003533569,0.02894543,14.012786,0.0
2013,0.2931866986991452,-0.003533569,0.028792573,10.305445,0.0
2014,0.4136762044645681,-0.003533569,0.02934987,14.215048,0.0
2015,0.3932822086189506,-0.003533569,0.029743774,13.341137,0.0
2016,0.394336786024711,-0.003533569,0.029874764,13.317942,0.0
2017,0.4200225626615052,-0.003533569,0.030207207,14.021691,0.0
2018,0.3895503759518159,-0.003533569,0.030393412,12.933195,0.0
2019,0.3498534955915877,-0.003533569,0.030464996,11.599774,0.0
2020,0.4041701582353981,-0.003533569,0.030591981,13.327143,0.0
2021,0.3303973323556822,-0.003533569,0.030586544,10.917576,0.0
2022,0.3159349331169093,-0.003533569,0.030502815,10.473411,0.0
2023,0.3268891428729699,-0.003533569,0.030588115,10.802323,0.0
2024,0.3009311360876802,-0.003533569,0.030470459,9.992127,0.0
