dataset,variable,storage_type,stata_variable_label,definition,nonmissing_count,missing_count,unique_nonmissing,value_label_mappings_in_dataset,manuscript_definition,manuscript_source,documentation_status
master_data.dta,year,int16,year,Calendar year (2009-2024 in the main panel).,4544,0,16,,Calendar year; the final balanced panel covers 2009-2024.,,Documented in the manuscript; verify against construction code before release.
master_data.dta,city,float64,city,City identifier; no value-label mapping is embedded in the primary dataset.,4544,0,284,,"Prefecture-level and above administrative unit, including prefecture-level cities, sub-provincial cities and municipalities; urban districts and county-level jurisdictions under municipal administration are included.",,Documented in the manuscript; verify against construction code before release.
master_data.dta,province,int32,,Province identifier.,4544,0,31,,,,Not fully documented in the supplied manuscript.
master_data.dta,entreact,float32,缩尾后每百人新创企业数,Entrepreneurial vitality outcome: winsorized number of newly established firms per 100 people.,4544,0,4450,,"Number of newly registered firms per 100 residents in each city-year, after excluding invalid firm records and winsorizing continuous variables at the 1st and 99th percentiles.",China Industrial and Commercial Registered Enterprise Database; population denominator from city statistical sources.,Documented in the manuscript; verify against construction code before release.
master_data.dta,y,float32,,Alternative outcome: winsorized logarithm of newly established firms.,4544,0,4330,,Alternative entrepreneurial-vitality outcome: natural logarithm of the annual number of newly registered firms.,China Industrial and Commercial Registered Enterprise Database.,Documented in the manuscript; verify against construction code before release.
master_data.dta,gvar,float64,,First year in which the city entered the innovative industrial cluster pilot; missing for never-treated cities.,1248,3296,4,,"First year of innovative industrial cluster pilot designation for each treated city; cohorts are 2013, 2014, 2017 and 2023.",Official designation documents and policy announcements of China's Ministry of Science and Technology.,Documented in the manuscript; verify against construction code before release.
master_data.dta,treat,int8,Treat,Indicator for cities ever included in the pilot.,4544,0,2,,Equals 1 if a city was ever designated as an innovative industrial cluster pilot and 0 otherwise.,Official designation documents and policy announcements of China's Ministry of Science and Technology.,Documented in the manuscript; verify against construction code before release.
master_data.dta,post,int8,Post,Post-treatment-period indicator.,4544,0,2,,"Equals 1 in the designation year and all subsequent years for a treated city, and 0 otherwise.",Constructed from Ministry of Science and Technology pilot designation year.,Documented in the manuscript; verify against construction code before release.
master_data.dta,did,int8,DID,Difference-in-differences treatment indicator (treat x post).,4544,0,2,,Main policy indicator equal to treat multiplied by post.,Constructed from treat and post.,Documented in the manuscript; verify against construction code before release.
master_data.dta,policy,float32,,"Event time relative to the first pilot year, top- and bottom-coded at +/-5 in the analysis code.",4544,0,11,,,,Not fully documented in the supplied manuscript.
