year,treat,entreact_mean,treat,entreact_mean
2009,1,0.8788616,0,0.6411082
2010,1,0.9265851,0,0.6441377
2011,1,0.9516958,0,0.6662408
2012,1,0.9598513,0,0.6857005
2013,1,1.154967,0,0.7786848
2014,1,1.29079,0,0.8151911
2015,1,1.450943,0,0.9679378
2016,1,1.583632,0,1.069796
2017,1,1.834101,0,1.234565
2018,1,2.077512,0,1.352979
2019,1,2.213591,0,1.506448
2020,1,2.372314,0,1.673773
2021,1,2.493797,0,1.806209
2022,1,2.185752,0,1.61239
2023,1,2.552171,0,1.946244
2024,1,2.260314,0,1.633221
