,(1),(2),(3)
,entreact,entreact,entreact
did,1.091***,0.302***,0.294***
,"[1.004,1.179]","[0.229,0.374]","[0.138,0.450]"
gdp,,0.789***,0.585***
,,"[0.719,0.858]","[0.360,0.809]"
fin,,0.438***,0.131
,,"[0.379,0.496]","[-0.031,0.293]"
stru,,0.580***,-0.806**
,,"[0.324,0.836]","[-1.557,-0.055]"
wage,,0.327***,-0.236*
,,"[0.251,0.402]","[-0.507,0.036]"
gov,,0.035***,-0.027
,,"[0.018,0.052]","[-0.065,0.011]"
human,,0.033***,0.099***
,,"[0.020,0.046]","[0.036,0.162]"
pubservice,,-0.809***,0.228
,,"[-0.878,-0.739]","[-0.061,0.518]"
_cons,1.190***,-9.572***,-6.460***
,"[1.158,1.221]","[-10.275,-8.869]","[-11.203,-1.718]"
N,4544,4544,4544
r2_a,0.116,0.513,0.748
