,entreact
gdp,0.585***
,"[0.356,0.815]"
fin,0.117
,"[-0.047,0.281]"
stru,-0.804**
,"[-1.562,-0.047]"
wage,-0.237*
,"[-0.512,0.038]"
gov,-0.025
,"[-0.062,0.012]"
human,0.102***
,"[0.038,0.165]"
pubservice,0.215
,"[-0.077,0.508]"
pre5,-0.081
,"[-0.233,0.071]"
pre4,-0.082
,"[-0.209,0.045]"
pre3,-0.053
,"[-0.205,0.099]"
pre2,0.006
,"[-0.155,0.167]"
current,0.057
,"[-0.037,0.150]"
post1,0.183**
,"[0.005,0.361]"
post2,0.225**
,"[0.004,0.446]"
post3,0.306**
,"[0.066,0.546]"
post4,0.283**
,"[0.065,0.502]"
post5,0.373***
,"[0.148,0.598]"
_cons,-6.586***
,"[-11.387,-1.785]"
N,4544
r2_a,0.748
