,(1),(2),(3),(4),(5),(6),(7),(8)
,y,entreact,entreact,entreact,entreact,entreact,entreact,entreact
did,0.105***,0.316***,0.301***,0.137*,0.288***,0.164**,0.294***,0.224***
,"[0.038,0.172]","[0.157,0.475]","[0.149,0.452]","[-0.018,0.293]","[0.122,0.454]","[0.005,0.323]","[0.104,0.484]","[0.078,0.371]"
gdp,0.393***,0.600***,0.428***,0.221**,0.222,0.515***,0.585***,0.482***
,"[0.290,0.496]","[0.374,0.825]","[0.194,0.663]","[0.001,0.440]","[-0.048,0.492]","[0.295,0.735]","[0.278,0.892]","[0.271,0.693]"
fin,0.022,0.133,0.161*,-0.020,0.204***,0.126,0.131,0.098
,"[-0.044,0.087]","[-0.029,0.295]","[-0.010,0.332]","[-0.117,0.077]","[0.082,0.327]","[-0.036,0.289]","[-0.057,0.319]","[-0.064,0.260]"
stru,0.476***,-0.838**,-0.881**,0.162,-0.114,-0.651*,-0.806*,-0.664*
,"[0.157,0.794]","[-1.593,-0.084]","[-1.672,-0.090]","[-0.495,0.818]","[-0.767,0.538]","[-1.380,0.078]","[-1.680,0.068]","[-1.368,0.039]"
wage,-0.067,-0.212,-0.110,-0.397**,-0.192,-0.169,-0.236,-0.110
,"[-0.215,0.082]","[-0.485,0.062]","[-0.375,0.154]","[-0.699,-0.095]","[-0.507,0.123]","[-0.435,0.098]","[-0.564,0.093]","[-0.385,0.165]"
gov,-0.020,-0.025,-0.030*,-0.056***,-0.071***,-0.031*,-0.027,-0.038**
,"[-0.044,0.004]","[-0.062,0.012]","[-0.064,0.004]","[-0.086,-0.027]","[-0.117,-0.026]","[-0.067,0.005]","[-0.089,0.035]","[-0.075,-0.002]"
human,0.013,0.100***,0.085**,0.021,0.129***,0.086***,0.099**,0.064**
,"[-0.009,0.036]","[0.037,0.163]","[0.015,0.156]","[-0.050,0.092]","[0.071,0.187]","[0.026,0.146]","[0.023,0.175]","[0.003,0.125]"
pubservice,0.153**,0.228,0.239**,-0.077,0.153,0.213,0.228,0.265*
,"[0.015,0.291]","[-0.062,0.519]","[0.005,0.473]","[-0.351,0.197]","[-0.090,0.397]","[-0.075,0.501]","[-0.056,0.512]","[-0.016,0.546]"
did1,,,,,,0.276**,,
,,,,,,"[0.026,0.526]",,
did2,,,,,,0.288***,,
,,,,,,"[0.105,0.471]",,
did3,,,,,,0.186***,,
,,,,,,"[0.059,0.314]",,
pop,,,,,,,,1.724***
,,,,,,,,"[1.145,2.303]"
internet,,,,,,,,0.010***
,,,,,,,,"[0.003,0.017]"
_cons,2.167*,-6.888***,-5.248**,2.516,-1.782,-6.332***,-6.460**,-16.273***
,"[-0.154,4.487]","[-11.598,-2.177]","[-9.903,-0.593]","[-3.079,8.111]","[-7.569,4.006]","[-10.803,-1.861]","[-12.047,-0.874]","[-22.201,-10.346]"
N,4544,4480,3692,4544,4448,4544,4544,4544
r2_a,0.926,0.748,0.783,0.829,0.827,0.754,0.748,0.758
