,(1),(2),(3),(4),(5),(6)
,talents,technology,venture,digital_finance,domestic_demand,foreign_demand
did,0.005**,0.058***,0.046***,3.792***,0.526***,0.207**
,"[0.001,0.010]","[0.018,0.099]","[0.023,0.069]","[2.314,5.270]","[0.312,0.740]","[0.040,0.374]"
gdp,0.003,0.065***,0.032***,14.715***,1.591***,0.399***
,"[-0.006,0.012]","[0.025,0.105]","[0.011,0.053]","[11.774,17.655]","[1.280,1.902]","[0.133,0.665]"
fin,0.003,0.027,0.014*,2.604***,0.144,0.134
,"[-0.001,0.007]","[-0.006,0.060]","[-0.000,0.028]","[0.855,4.353]","[-0.063,0.351]","[-0.078,0.347]"
stru,-0.017,-0.122**,-0.095***,1.864,0.177,-1.230**
,"[-0.042,0.008]","[-0.241,-0.004]","[-0.157,-0.034]","[-6.546,10.273]","[-0.711,1.064]","[-2.267,-0.194]"
wage,-0.010*,0.023,-0.021,-3.167,-0.691***,0.156
,"[-0.022,0.002]","[-0.039,0.085]","[-0.050,0.007]","[-7.727,1.394]","[-1.125,-0.256]","[-0.194,0.505]"
gov,0.001,0.001,-0.001,-0.470,-0.000,0.026
,"[-0.000,0.003]","[-0.003,0.006]","[-0.004,0.002]","[-1.196,0.256]","[-0.051,0.050]","[-0.024,0.077]"
human,-0.000,0.012,0.000,0.177,0.175***,0.111**
,"[-0.003,0.002]","[-0.005,0.030]","[-0.007,0.007]","[-0.465,0.820]","[0.088,0.262]","[0.015,0.208]"
pubservice,0.013***,0.007,0.021,0.630,0.055,0.187
,"[0.004,0.022]","[-0.048,0.062]","[-0.007,0.049]","[-2.694,3.954]","[-0.315,0.424]","[-0.135,0.510]"
_cons,-0.007,-1.192**,-0.268,-13.022,-18.169***,-6.761*
,"[-0.187,0.174]","[-2.275,-0.110]","[-0.865,0.329]","[-85.115,59.070]","[-27.279,-9.060]","[-13.932,0.410]"
N,4544,4544,3976,3976,4544,4544
r2_a,0.662,0.952,0.626,0.995,0.914,0.951
