,(1),(2),(3),(4)
,entreact,entreact,entreact,entreact
did,0.022,0.303***,0.336***,0.241***
,"[-0.118,0.163]","[0.099,0.507]","[0.120,0.552]","[0.091,0.390]"
gdp,0.316**,0.673***,0.595***,0.523***
,"[0.052,0.579]","[0.328,1.018]","[0.327,0.863]","[0.284,0.763]"
fin,0.041,0.090,0.109,0.115*
,"[-0.105,0.186]","[-0.133,0.314]","[-0.137,0.354]","[-0.021,0.250]"
stru,0.600,-1.569***,-0.733,-0.777*
,"[-0.337,1.537]","[-2.670,-0.468]","[-1.664,0.198]","[-1.622,0.069]"
wage,-0.189,-0.294,-0.291*,-0.225
,"[-0.534,0.156]","[-0.720,0.131]","[-0.623,0.041]","[-0.599,0.148]"
gov,-0.007,-0.054*,-0.043*,-0.018
,"[-0.047,0.033]","[-0.111,0.004]","[-0.091,0.006]","[-0.061,0.024]"
human,0.098**,0.097**,0.107***,0.093***
,"[0.011,0.184]","[0.023,0.171]","[0.029,0.185]","[0.026,0.161]"
pubservice,-0.189,0.451**,0.144,0.255
,"[-0.511,0.134]","[0.035,0.866]","[-0.268,0.556]","[-0.061,0.572]"
_cons,-1.710,-7.654*,-5.339*,-5.863**
,"[-6.257,2.836]","[-15.709,0.401]","[-11.329,0.652]","[-11.385,-0.341]"
N,1792,2752,2105,2436
r2_a,0.547,0.781,0.756,0.746
