Variable,Spatial adjacent matrix,Spatial adjacent matrix,Spatial geographic distance matrix,Spatial geographic distance matrix,Spatial economic geography nested matrix,Spatial economic geography nested matrix
Variable,Moran` I,z,Moran` I,z,Moran` I,z
entrevit_2009,0.512***,13.316,0.100***,17.301,0.433***,14.855
entrevit_2010,0.486***,12.714,0.097***,16.818,0.430***,14.810
entrevit_2011,0.463***,12.367,0.084***,14.869,0.367***,12.976
entrevit_2012,0.465***,12.294,0.083***,14.552,0.402***,14.013
entrevit_2013,0.367***,9.778,0.058***,10.493,0.293***,10.305
entrevit_2014,0.431***,11.261,0.079***,13.693,0.414***,14.215
entrevit_2015,0.447***,11.517,0.071***,12.221,0.393***,13.341
entrevit_2016,0.436***,11.181,0.073***,12.507,0.394***,13.318
entrevit_2017,0.444***,11.267,0.077***,12.987,0.420***,14.022
entrevit_2018,0.425***,10.720,0.089***,14.988,0.390***,12.933
entrevit_2019,0.374***,9.412,0.063***,10.747,0.350***,11.560
entrevit_2020,0.512***,12.815,0.110***,18.107,0.404***,13.327
entrevit_2021,0.360***,9.022,0.079***,13.290,0.330***,10.918
entrevit_2022,0.414***,10.411,0.073***,12.215,0.316***,10.473
entrevit_2023,0.361***,9.054,0.057***,9.718,0.327***,10.802
entrevit_2024,0.354***,8.912,0.055***,9.407,0.301***,9.992
